npaid	compound_name	formula	origin_type	origin_genus	origin_species	original_reference_doi
NPA000038	AHB-6-Methylneamine	C17H35N5O8	Bacterium	Bacillus	circulans	10.7164/antibiotics.31.1039
NPA000039	Formycin B	C10H12N4O5	Fungus	Unknown-fungus	sp.	10.1016/s0040-4039(01)99671-6
NPA000041	Not named	C11H16O3	Fungus	Pestalotiopsis	sp. JCM 9686	10.1016/s0031-9422(97)00285-9
NPA000042	Nocazine C	C20H20N2O3	Bacterium	Nocardiopsis	dassonvillei HR10-5	10.1021/np200597m
NPA000043	Agripilol A	C15H28O4	Fungus	Fusarium	sp.	10.1002/hlca.201000413
NPA000044	Not named	C15H16O6	Fungus	Fusarium	sp. BCC14842	10.1016/j.tet.2011.07.078
NPA000045	Z-4-2	C11H9NO3	Bacterium	Streptomyces	djakartensis NW35	10.3390/molecules18032763
NPA000046	Maltophilin	C29H38N2O6	Bacterium	Stenotrophomonas	maltophilia R3089	10.7164/antibiotics.49.1101
NPA000047	Lasalocid (X 537 A)	C34H54O8	Bacterium	Streptomyces	sp.	10.1039/c29700000071
NPA000048	Pestalamide C	C15H16N2O3	Fungus	Pestalotiopsis	theae	10.1021/np800357g
NPA000049	Not named	C24H24O12	Fungus	Aschersonia	coffeae Henn. BCC 28712	10.1016/j.tet.2012.07.059
NPA000050	ƞ-Isorhodomycinone	C22H16O8	Bacterium	Streptomyces	galilaeus	10.1007/bf02926646
NPA000051	Vermelhotin	C12H11NO3	Bacterium	Unknown-bacterium	fungus CRI247-01	10.1016/j.phytochem.2008.08.005
NPA000052	Varioxiranediol	C15H20O5	Fungus	Emericella	variecolor	10.1016/j.tetlet.2011.09.079
NPA000053	Xentrivalpeptide C	C41H63N7O9	Bacterium	Xenorhabdus	sp. 85816	10.1021/np300279g
NPA000054	[Asp3, ADMAdda5, Dhb7] microcystin RR	C49H73N13O13	Bacterium	Nostoc	sp.	10.1016/s0031-9422(97)00769-3
NPA000055	Oxachelin	C27H37N7O11	Bacterium	Streptomyces	sp. GW9/1258	10.1038/ja.2006.88
NPA000056	Brasilane A	C23H39NO6	Fungus	Coltricia	sideroides	10.1016/j.fitote.2015.05.009
NPA000057	Terrecoumarin C	C15H16O3	Fungus	Penicillium	oxalicum	10.1080/10286020.2015.1039997
NPA000058	GE23077 A1/A2	C31H49N9O16	Bacterium	Actinomadura	sp. strain. GE23077	10.7164/antibiotics.57.210
NPA000059	Farneside A	C24H38N2O7	Bacterium	Streptomyces	sp. strain CNT-372	10.1021/np400351t
NPA000061	BCA 1	C21H34O5	Fungus	Alternaria	alternata	10.1016/s0031-9422(00)00268-5
NPA000062	7a-acetoxy-15-methoxy-10-O-methyl-deacetyldihydrobotrydial	C19H32O7	Fungus	Daldinia	concentrica	10.1038/ja.2008.74
NPA000063	Aspochalasin O	C27H39NO5	Fungus	Spicaria	elegans	10.1002/ejoc.200801085
NPA000064	EH21A14	C27H40N2O7	Bacterium	Streptomyces	sp.	10.1016/j.bmcl.2008.01.072
NPA000065	Kipukasin I	C18H20N2O9	Fungus	Aspergillus	versicolor	10.1080/14786419.2014.891114
NPA000066	6-deoxyaflaquinolone D	C16H15NO3	Fungus	Aspergillus	nidulans MA-143	10.1021/np4004646
NPA000067	Conioxepinol B	C15H12O7	Fungus	Coniochaeta	sp.	10.1021/np100071z
NPA000068	JBIR-82	C29H42N4O3	Fungus	Aspergillus	sp.	10.1038/ja.2010.57
NPA000069	(5R,5aS,9R,9aR,9bR)-9,9b-dihydroxy-6,6,9a-trimethyl-1-oxo-1,3,5,5a,6,7,8,9,9a,9b-decahydronaphtho[1,2-c]furan-5-yl hexanoate	C21H32O6	Fungus	Aspergillus	sp. IBWF002-96	10.1016/j.bmc.2014.04.015
NPA000070	Etrogol	C13H18O2	Fungus	Pithomyces	sp.	10.1021/np030044w
NPA000071	Inflatin B	C29H40O6	Fungus	Tolypocladium	inflatum	10.1021/np200431k
NPA000072	Pyramidamycin B	C8H9NO4	Bacterium	Streptomyces	sp. DGC1	10.1038/ja.2012.81
NPA000073	5-Chloro-w-hydroxyemodin	C15H9ClO6	Fungus	Nephroma	laevigatum	10.1016/0031-9422(96)00148-3
NPA000074	Laxaphycin B	C65H114N14O19	Bacterium	Lyngbya	majuscula	10.1021/jm061307x
NPA000075	Stachybocin E	C50H68N2O8	Fungus	Stachybotrys	chartarum MXH-X73	10.1021/np400683h
NPA000076	Xanthoquinodin A3	C31H24O11	Fungus	Humicola	sp. FO-888	10.7164/antibiotics.46.749
NPA000077	(-)-acetodalmanol B	C32H26O9	Fungus	Daldinia	eschscholzii	10.1021/ja110932p
NPA000078	Clavirolide A	C20H28O4	Fungus	Clavularia	viridis	10.1021/jo00007a019
NPA000079	25-Methylpisolactone	C32H52O3	Fungus	Pisolithus	tinctorius	10.1016/s0031-9422(97)00007-1
NPA000080	Not named	C27H39NO3	Bacterium	Streptomyces	sp. ML55	10.1038/ja.2007.59
NPA000081	Macrosphelide D	C16H22O8	Fungus	Unknown-fungus	sp.	10.7164/antibiotics.50.878
NPA000082	Communesin E	C28H32N4O	Fungus	Penicillium	expansum Link MK-57	10.1271/bbb.68.753
NPA000083	Oxydifficidin	C31H45O7P	Bacterium	Bacillus	sp. SNA-60-367	10.7164/antibiotics.40.1677
NPA000084	Talaroketal A	C35H30O11	Fungus	Talaromyces	stipitatus ATCC 10500	10.1039/c5ob02657a
NPA000085	Pestalafuranone H	C11H12O4	Fungus	Nigrospora	sp. BM-2	10.3390/molecules19010819
NPA000086	Boletinin E	C24H36O5	Fungus	Boletinus	cavipes	10.1021/np030535g
NPA000087	Aranciamycin anhydride	C36H36O16	Bacterium	Streptomyces	sp.	10.1038/ja.2010.59
NPA000088	Blazeispirol X	C28H38O4	Fungus	Agaricus	blazei	10.1016/s0040-4039(00)00783-8
NPA000089	Shearinine E	C37H45NO6	Fungus	Penicillium	janthinellum	10.1021/np060396d
NPA000090	Oxalicumone D	C18H18O9S	Fungus	Penicillium	oxalicum SCSGAF 0023	10.1016/j.bmcl.2014.04.028
NPA000091	Cyclonerodiol	C15H28O2	Fungus	Unknown-fungus	sp.	10.1016/s0040-4039(01)91612-0
NPA000092	"2-(1',5'-heptadienyl)-3,6-dihydroxy-5-(3""-methyl-2""-butenyl)benzaldehyde"	C19H24O3	Fungus	Eurotium	rubrum	10.1248/cpb.56.1282
NPA000093	6-hydroxychrolactomycin	C24H32O8	Bacterium	Actinospica	sp.	10.1021/np300470f
NPA000094	(4S)-2,4-dimethyl-5-oxo-2,5-dihydrofuran-3-carboxylic acid	C7H8O4	Fungus	Graphis	scripta	10.3987/com-14-13107
NPA000095	Penicibrocazine C	C20H26N2O6S2	Fungus	Penicillium	brocae MA-231	10.3390/md13010276
NPA000096	Vanillobiocin	C31H31ClN2O12	Bacterium	Streptomyces	roseochromogenes DS12.976	10.7164/antibiotics.57.205
NPA000097	Ascomycone A	C16H14O6	Bacterium	Unknown-bacterium	ascomycete	10.1021/np800570w
NPA000098	Koninginin J	C16H24O5	Fungus	Trichoderma	neokongii 8722	10.1016/j.phytol.2014.03.004
NPA000099	Preussidone	C20H18O6	Fungus	Preussia	typharum	10.1021/np300473h
NPA000100	Hebelophyllene C	C15H22O4	Fungus	Hebeloma	longicaudum	10.1016/s0031-9422(99)00117-x
NPA000101	Allocyathin A4	C20H28O4	Fungus	Cyathus	helenae	10.1139/m71-223
NPA000102	Methylspinazarin	C11H8O6	Bacterium	Streptomyces	sp.	10.7164/antibiotics.26.112
NPA000103	Chloriolin C	C23H35ClO6	Bacterium	Unknown-bacterium	sp.	10.1021/jo00100a041
NPA000104	Cohaerin B	C26H30O7	Fungus	Hypoxylon	cohaerens	10.1016/j.phytochem.2005.02.006
NPA000105	Epothilone E	C26H39NO7S	Bacterium	Sorangium	cellulosum	10.1021/np000629f
NPA000106	Petchiether A	C21H28O5	Fungus	Ganoderma	petchii	10.1016/j.phytol.2016.08.013
NPA000107	Oxaloterpin D	C22H33NO3	Bacterium	Streptomyces	sp. KO-3988	10.1021/np070326m
NPA000108	Sesquicillin B	C29H40O7	Fungus	Albophoma	sp. FKI-1778	10.1038/ja.2005.50
NPA000109	SCH 64879	C51H94O12	Fungus	Acremonium	sp.	10.7164/antibiotics.50.983
NPA000110	Not named	C38H46ClN7O8	Fungus	Helicomyces	sp.	10.7164/antibiotics.56.682
NPA000111	Armochaetoglobin N	C32H37N3O3	Fungus	Chaetomium	globosum TW1-1	10.1002/ejoc.201403678
NPA000112	(-)-ganoapplanatumine A	C15H15NO3	Fungus	Ganoderma	applanatum	10.1016/j.tet.2016.06.019
NPA000113	Leptofuranin B	C33H50O5	Bacterium	Streptomyces	tanashiensis	10.7164/antibiotics.49.974
NPA000114	Parmosidone A	C18H14O9	Fungus	Parmotrema	tsavoense (Krog and Swinscow) Krog and Swinscow, Parmeliaceae	10.1016/j.tet.2015.06.107
NPA000115	Hinakurin	C32H22O10	Fungus	Unknown-fungus	sp.	10.1021/np9703050
NPA000116	Carzinophilin	C31H33N3O12	Bacterium	Streptomyces	sahachiroi	10.1021/ja00358a022
NPA000117	Arisugacin F	C27H34O5	Fungus	Penicillium	sp. FO-4259-11	10.7164/antibiotics.53.50
NPA000118	UCF-116-A	C37H48N2O8	Bacterium	Streptomyces	sp.	10.7164/antibiotics.53.720
NPA000119	Omphalotin F	C69H115N13O17	Fungus	Omphalotus	olearius	10.1002/ejoc.200801068
NPA000120	Ushikulide A	C40H68O10	Bacterium	Streptomyces	sp. IUK-102	10.1038/ja.2005.55
NPA000121	Sporidesmin B	C18H20ClN3O5S2	Fungus	Penicillium	sp.	10.1039/jr9630003172
NPA000122	Dehydrofusaric acid	C10H11NO2	Fungus	Gibberella	fujikuroi (Saw.) Wr. strain 917	10.1139/o70-100
NPA000123	Zaragozic acid D2	C36H50O14	Fungus	Amauroascus	niger	10.1021/np50101a009
NPA000124	Luteusin D	C25H29ClO6	Fungus	Talaromyces	luteus IFM 42239	10.1248/cpb.44.284
NPA000125	Sulphureuine G	C15H28O3	Fungus	Laetiporus	sulphureus	10.1016/j.fitote.2015.01.022
NPA000126	Syringolin H	C25H43N5O6	Bacterium	Pseudomonas	syringae	10.1002/cbic.201200310
NPA000127	Isocycloheximide	C15H23NO4	Fungus	Unknown-fungus	sp.	10.1021/jo01073a008
NPA000128	Panglimycin E	C19H18O6	Bacterium	Streptomyces	sp. strain ICBB8230	10.1021/np0704102
NPA000129	Hypocrenone A	C16H18O3	Fungus	Hypocrea	koningii PF04	10.3390/md13095579
NPA000130	Rubiginosin B	C21H22O8	Fungus	Hypoxylon	rubiginosum	10.1021/np040063l
NPA000131	Platensimycin A6 methyl ester	C25H31NO8	Bacterium	Streptomyces	platensis strain MA7327	10.1021/np100635f
NPA000132	Prolipyrone B	C10H10O5	Fungus	Fusarium	proliferatum MA-84	10.1002/hlca.201200195
NPA000133	Penicillither	C18H17ClO8	Fungus	Penicillium	sp. PSU-RSPG99	10.1016/j.tet.2014.05.105
NPA000134	(12R)-12-hydroxymonocerin	C16H20O7	Fungus	Microdochium	bolleyi	10.1021/np800095g
NPA000135	Clavaminic acid	C8H10N2O4	Bacterium	Streptomyces	clavuligerus	10.1039/c3976000266b
NPA000136	Inoterpene E	C30H50O4	Fungus	Inonotus	obliquus	10.1016/j.tet.2009.01.076
NPA000137	VM-55599	C25H35N3O	Fungus	Penicillium	sp. strain, IMI 332995	10.7164/antibiotics.46.1355
NPA000138	F-11334-B1	C11H14O3	Fungus	Acremonium	murorum	10.7164/antibiotics.52.827
NPA000139	Petrobactin sulfonate	C33H48N6O14S	Bacterium	Marinobacter	hydrocarbonoclasticus	10.1021/np049823i
NPA000140	Tensyuic acid C	C13H20O6	Fungus	Aspergillus	niger FKI-2342	10.1248/cpb.55.1338
NPA000141	SW-163B	C33H40N2O12	Bacterium	Streptomyces	sp. SNA 15896	10.7164/antibiotics.54.867
NPA000142	Phomadecalin B	C17H22O5	Fungus	Phoma	sp. NRRL 25697	10.1021/np010519o
NPA000143	Terricollene B	C17H22O7	Fungus	Neurospora	terricola	10.1021/np900512k
NPA000144	6’-dehydroxytrichoverrin B	C29H40O8	Fungus	Myrothecium	roridum QB-1	10.1002/hlca.201500088
NPA000145	Flagranone A	C26H32O7	Fungus	Duddingtonia	flagrans	10.7164/antibiotics.52.1023
NPA000146	Oblongolide O	C14H20O3	Fungus	Phomopsis	sp. XZ-26	10.1002/ejoc.200801021
NPA000147	Sterenin M	C27H31NO8	Fungus	Stereum	hirsutum	10.1055/s-0034-1382828
NPA000148	Indole-3-acetyl-epsilon-L-lysine	C16H21N3O3	Bacterium	Pseudomonas	savastanoi	10.1021/bi00842a013
NPA000149	Clonoamide	C15H25NO2	Fungus	Clonostachys	sp. BF-0131	10.1038/ja.2015.37
NPA000150	Paecilomycin K	C19H24O7	Fungus	Paecilomyces	sp. SC0924	10.1016/j.tetlet.2013.03.036
NPA000151	Epi-isozizaene	C15H24	Bacterium	Streptomyces	coelicolor	10.1021/ja061292s
NPA000152	Phomopsin C	C19H28O5	Fungus	Phomopsis	sp. ZSU-H76	10.1016/j.phytochem.2008.02.002
NPA000153	Dictyoquinazol A	C17H16N2O4	Fungus	Dictyophora	indusiata	10.1021/np020163w
NPA000154	Corynechromone A	C16H20O6	Fungus	Corynespora	cassiicola XS-200900I7	10.1021/np5009152
NPA000155	Hyapyrroline A	C34H49NO6	Bacterium	Hyalangium	minutum strain NOCB-2T	10.1021/np500145f
NPA000156	Venezueline G	C10H13NO3	Bacterium	Streptomyces	venezuelae	10.1016/j.bmcl.2012.10.096
NPA000157	Hamigeromycin D	C20H26O8	Fungus	Hamigera	avellanea BCC 17816	10.1016/j.tet.2009.11.101
NPA000158	Xylaripyrone A	C8H10O4	Fungus	Unknown-fungus	sp.	10.1080/10286020.2015.1054816
NPA000159	Cyclo(D-Tyr-D-Pro)	C14H16N2O3	Fungus	Aspergillus	versicolor ZBY-3	10.3390/md12084326
NPA000160	8-Hydroxy-4-methoxyquinoline-2-carbothioic S-acid	C11H9NO3S	Bacterium	Pseudomonas	fluorescens	10.1515/znb-1980-1217
NPA000161	Obionin A	C21H24O5	Fungus	Leptosphaeria	obiones	10.1016/s0040-4039(00)99419-x
NPA000162	Penicillactone B	C27H32O11	Fungus	Penicillium	dangeardii pitt	10.1021/ol4023485
NPA000163	21-O-Deacetylcytochalasin Q	C28H35NO5	Fungus	Xylaria	sp. SCSIO 156	10.1002/hlca.201100051
NPA000164	Nonylprodigiosin	C23H29N3O	Bacterium	Actinomadura	(nocardia) madurae	10.1016/s0040-4039(01)97837-2
NPA000165	Not named	C10H10Cl2O4	Fungus	Dasyscyphus	sp. A47-98	10.7164/antibiotics.57.311
NPA000166	Sterpurol A	C15H24O2	Fungus	Flammulina	velutipes	10.1016/j.foodchem.2011.11.117
NPA000167	MBA 028-24 A	C56H95N3O17	Bacterium	Streptomyces	hgroscopicus A1491	10.2116/analsci.7.supple_809
NPA000168	Mucidone	C11H16O2	Bacterium	Streptomyces	sp.	10.1016/s0040-4039(01)94263-7
NPA000169	(3S)‐8‐[(6‐O‐acetyl‐β‐D‐glucopyranosyl)oxy]‐3‐[(1E,3E,5E)‐hepta‐1,3,5‐trienyl]‐3,4‐dihydro‐6‐methoxy‐5‐methyl‐1H‐2‐benzopyran‐1‐one	C26H32O10	Fungus	Cephalosporium	sp. AL031	10.1002/hlca.200490261
NPA000170	Not named	C56H85N9O15	Bacterium	Unknown-bacterium	sp.	10.7164/antibiotics.54.125
NPA000171	(+)-epoxyserinone B	C11H14O5	Fungus	Penicillium	sp.	10.1021/np030388m
NPA000172	Ganoderic acid D	C30H46O7	Fungus	Ganoderma	lucidum	10.1248/cpb.33.2624
NPA000173	Arthrofactin	C64H111N11O20	Bacterium	Arthrobacter	sp.	10.1128/jb.175.20.6459-6466.1993
NPA000174	Aspereline C	C44H78N10O11	Fungus	Trichoderma	asperellum	10.1021/np900190w
NPA000175	Aschernaphthopyrone A	C29H24O9	Fungus	Aschersonia	paraphysata BCC 11964 T	10.1021/np1000363
NPA000176	Punctaporonin H	C17H26O5	Fungus	Hansfordia	sinuosae	10.3390/md12073904
NPA000177	Conidiogenone D	C20H30O3	Fungus	Penicillium	sp.	10.1016/j.tet.2008.11.078
NPA000178	Sch 50676	C20H14O5	Fungus	Unknown-fungus	sp.	10.7164/antibiotics.48.329
NPA000179	Taveuniamide D	C19H23Cl4NO3	Bacterium	Lyngbya	majuscula	10.1016/j.tet.2004.02.076
NPA000180	Massetolide H	C56H99N9O16	Bacterium	Pseudomonas	sp.	10.1021/np9606456
NPA000181	Fuzanin D	C13H17NO2	Bacterium	Kitasatospora	sp. IFM10917	10.1016/j.tet.2008.10.040
NPA000182	2,3-dihydroxypropyl (Z)-10-methyloctadec-9-enoate	C22H42O4	Fungus	Microsphaeropsis	olivacea strain F-10	10.1139/v96-079
NPA000183	SCH-64877	C34H44N2O10S4	Bacterium	Unknown-bacterium	sp.	10.1016/s0040-4039(96)02457-4
NPA000184	Guineamide A	C31H43N5O6S	Bacterium	Lyngbya	majuscula	10.1021/np020492o
NPA000185	1,4,6b,7,10-pentahydroxy-1,2,6b,7,8,12b-hexahydroperylene-3,9-dione	C20H16O7	Fungus	Alternaria	tenuissima SS77	10.1016/j.tetlet.2016.06.035
NPA000186	Calocerin C	C11H8ClNO3	Fungus	Favolaschia	calocera	10.1016/j.phytochem.2016.10.001
NPA000187	5α,8α-epidioxy-24(R)-methylcholesta-6,22-dien-3β-ol	C28H46O3	Fungus	Gloeophyllum	odoratum	10.1016/s0031-9422(99)00128-4
NPA000188	Carbazomycin B	C15H15NO2	Bacterium	Streptomyces	sp.	10.7164/antibiotics.33.961
NPA000189	5-hydroxy-2,7-dimethoxy-8-methylnaphthoquinone	C13H12O5	Fungus	Sporormiella	minimoides	10.1016/j.phytochem.2013.09.006
NPA000190	Paecilocin D	C16H22O3	Fungus	Paecilomyces	variotii	10.1021/np200350b
NPA000191	Scopararane F	C20H30O5	Fungus	Eutypella	scoparia FS26	10.3390/md10030539
NPA000192	Kigamicin A	C34H35NO13	Bacterium	Amycolatopsis	sp. ML630-mF1	10.7164/antibiotics.56.1004
NPA000193	Menaquinone MK-7	C46H64O2	Bacterium	Natronobacterium	gregoryi	10.1016/0378-1097(87)90417-4
NPA000194	Neomangicol C	C25H36O5	Fungus	Fusarium	sp.	10.1021/jo981226b
NPA000195	Salinipostin A	C25H45O6P	Bacterium	Salinispora	sp.	10.1021/jo5024409
NPA000196	Maristachone B	C11H16O4	Fungus	Stachylidium	sp.	10.1021/np300668j
NPA000197	Maltepolide B	C30H42O7	Bacterium	Sorangium	cellulosum So ce1485	10.1002/anie.201210113
NPA000198	Actinomycin Y2	C61H83ClN12O18	Bacterium	Streptomyces	sp.	10.1039/b815689a
NPA000199	Deoxyneo-beta-hydroxyaspergillic acid	C12H20N2O2	Fungus	Aspergillus	ochraceus WILH	10.1248/cpb.20.2274
NPA000200	3'-O-[beta-D-galactopyranosyl-(1-->4)-beta-D-galactopyranosyl]-5-bromouridine	C21H31BrN2O16	Fungus	Sporobolomyces	singularis	10.1271/bbb.67.643
NPA000201	Nisamycin	C24H27NO6	Bacterium	Streptomyces	sp. K106	10.7164/antibiotics.47.1104
NPA000202	CJ-19,784	C18H15BrO7	Fungus	Acanthostigmella	sp. CL12082	10.7164/antibiotics.54.1031
NPA000203	Neovasipyrone B	C17H26O6	Fungus	Neocosmospora	vasinfecta	10.1016/0031-9422(95)00356-c
NPA000204	Hirsutenol C	C15H22O3	Fungus	Stereum	hirsutum	10.1021/np010602b
NPA000205	Hexatenuin A	C34H48O7	Fungus	Hexagonia	tenuis	10.1016/j.tet.2014.09.013
NPA000206	Petromurin A	C31H32N2O5	Fungus	Petromyces	muricatus	10.1139/v97-075
NPA000207	Sassafrin C	C27H30O7	Fungus	Creosphaeria	sassafras	10.1016/j.tet.2004.12.031
NPA000208	Prejadomycin 2-carboxylate	C20H16O7	Bacterium	Streptomyces	albus	10.1002/cbic.200800425
NPA000209	Leiwansterol A	C29H48O4	Fungus	Omphalia	lapidescens	10.1080/10286020.2013.874346
NPA000210	Sch 49088	C88H123Cl2NO39	Bacterium	Micromonospora	carbonacea	10.1016/s0040-4039(98)01923-6
NPA000211	5-Hydroxy-3,4,5-trimethylfuran-2(5H)-one	C7H10O3	Fungus	Pleurotus	eryngii	10.1021/ol301519m
NPA000212	35‐O‐α‐altruronopyranosylbacteriohopanetetrol	C41H70O10	Bacterium	Prochlorothrix	sp.	10.1111/j.1432-1033.1996.00865.x
NPA000213	Cytochalasin Z19	C29H37NO8	Fungus	Aspergillus	flavipes	10.1002/hlca.200800455
NPA000214	Spirotryprostatin A	C22H25N3O4	Fungus	Aspergillus	fumigatus	10.1016/0040-4020(96)00737-5
NPA000215	Ascosteroside	C37H58O9	Fungus	Ascotricha	amphitricha	10.7164/antibiotics.49.553
NPA000216	Pestaloficiol V	C16H20O3	Fungus	Pestalotiopsis	fici	10.1021/acs.orglett.6b00562
NPA000217	Tenelate B	C27H34O8	Fungus	Talaromyces	sp. (SBE-14)	10.1002/mrc.2405
NPA000218	Agglomerin B	C17H24O4	Bacterium	Enterobacter	agglomerans (PB-6,042)	10.7164/antibiotics.42.1729
NPA000219	Irlactin E	C15H22O3	Fungus	Irpex	lacteus	10.1016/j.tetlet.2013.03.038
NPA000220	9-Hydroxylarone	C13H18O4	Fungus	Xylaria	sp. NC1214	10.1016/j.phytochem.2015.08.010
NPA000221	Spirangien G	C41H66O10	Bacterium	Sorangium	cellulosum (strain So ce90)	10.1002/ejoc.201403353
NPA000222	Luminacin G2	C25H36O8	Bacterium	Streptomyces	sp. Mer-VD1207	10.7164/antibiotics.53.579
NPA000223	Erythrin	C20H22O10	Fungus	Roccella	montagnei	10.1007/bf03172443
NPA000224	Trichoaurantianolide D	C22H30O6	Fungus	Tricholoma	aurantium	10.1016/0040-4039(95)00420-h
NPA000225	2′,3′,4′′-triacetoxy-3,4,5′,6′-tetrahydroxy-p-terphenyl	C24H20O10	Fungus	Sarcodon	leucopus	10.1139/v87-395
NPA000226	Pullularin F	C38H52N4O9	Fungus	Bionectria	ochroleuca	10.3390/md10051081
NPA000227	methyl 1-(1-b-Glucopyranosyl)-1H-indole-3-acetate	C17H21NO7	Fungus	Cortinarius	brunneus	10.1002/cbdv.200890062
NPA000228	Tirandamycin G	C22H31NO7	Bacterium	Streptomyces	sp. 17944	10.1021/ol200420u
NPA000229	16-deoxo-paraherquamide J	C28H35N3O4	Fungus	Aspergillus	duricaulis	10.1021/acs.jnatprod.5b00508
NPA000230	Saponaceolide O	C30H44O7	Fungus	Tricholoma	terreum	10.1002/chem.201400226
NPA000231	Acarviostatin III23	C87H145N3O62	Bacterium	Streptomyces	coelicoflavus ZG0656	10.1002/cbdv.201100451
NPA000232	Beticolin 0	C31H23ClO12	Fungus	Cercospora	beticola	10.1016/0040-4039(96)00506-0
NPA000233	2-[4'-(methylamino)phenyl]quinazolin-4(3H)-one	C15H13N3O	Bacterium	Streptomyces	sp. A496	10.1021/np1006179
NPA000234	Abyssomicin D	C19H24O6	Bacterium	Verrucosispora	sp. strain AB 18-032	10.1002/anie.200353160
NPA000235	Lucidulactone A	C12H14O6	Fungus	Ganoderma	lucidum	10.1080/10286020.2014.960858
NPA000236	Bacilosarcin C	C24H34N2O9	Bacterium	Bacillus	sp. SNA-60-367	10.3390/md10020319
NPA000237	Stachybotrin A	C23H31NO5	Fungus	Stachybotrys	alternans	10.1007/bf02238217
